1,13,0.05
1,109,1.0
2,13,0.05
2,109,1.0
3,13,0.05
3,109,1.0
4,13,0.05
4,109,1.0
5,13,0.05
5,109,1.0
6,13,0.05
6,109,1.0
7,13,0.05
7,109,1.0
8,13,0.05
8,109,1.0
9,13,0.05
9,109,1.0
10,13,0.05
10,109,1.0
11,13,0.05
11,109,1.0
12,13,0.05
12,109,1.0
13,13,0.05
13,109,1.0
14,13,0.05
14,109,1.0
15,13,0.05
15,109,1.0
16,13,0.05
16,109,1.0
17,13,0.05
17,109,1.0
18,13,0.05
18,109,1.0
19,13,0.05
19,109,1.0
20,13,0.05
20,109,1.0
21,13,0.05
21,109,1.0
22,13,0.05
22,109,1.0
23,13,0.05
23,109,1.0
24,13,0.05
24,109,1.0
25,13,0.05
25,109,1.0
26,13,0.05
26,109,1.0
27,13,0.05
27,109,1.0
28,13,0.05
28,109,1.0
29,13,0.05
29,109,1.0
30,13,0.05
30,109,1.0
31,13,0.05
31,109,1.0
32,13,0.05
33,109,1.0
34,13,0.05
34,109,1.0
35,13,0.05
35,109,1.0
36,13,0.05
36,109,1.0
37,13,0.05
37,109,1.0
38,13,0.05
38,109,1.0
39,13,0.05
39,109,1.0
40,13,0.05
40,109,1.0
41,13,0.05
42,109,1.0
2,6,1.0
3,6,1.0
4,6,1.0
15,6,1.0
16,6,1.0
17,6,1.0
18,6,1.0
19,6,1.0
20,6,1.0
21,6,1.0
22,6,1.0
23,6,1.0
42,123 ,0.2
42,124 ,0.3
36,124 ,04
